일시,지역명,방문자수,검색건수,관외 이동량,숙박업소 개수,sns
10,강원특별자치도 고성군,2074759,208939,212608,230,26468.0
10,강원특별자치도 양양군,2591573,239464,267006,386,37188.0
11,강원특별자치도 춘천시,9499315,280974,573244,369,48835.0
11,강원특별자치도 원주시,10368568,268926,607634,152,43817.0
11,강원특별자치도 강릉시,7928864,357458,589250,730,70699.0
11,강원특별자치도 동해시,2853682,54306,177743,113,5015.0
11,강원특별자치도 태백시,1409418,17441,73626,22,8883.0
11,강원특별자치도 속초시,3834911,328551,437499,294,54812.0
11,강원특별자치도 삼척시,2233169,68610,201746,179,16521.0
11,강원특별자치도 홍천군,2405558,114338,268878,282,21339.0
11,강원특별자치도 횡성군,1545511,57013,193230,111,12258.0
11,강원특별자치도 영월군,1091896,35393,124551,118,11558.0
11,강원특별자치도 평창군,2029625,136420,213778,270,30568.0
11,강원특별자치도 정선군,1398763,80887,164534,108,15681.0
11,강원특별자치도 철원군,1270923,44708,115371,34,6664.0
11,강원특별자치도 화천군,844167,10047,64900,58,4290.0
11,강원특별자치도 양구군,773411,13116,51280,22,4930.0
11,강원특별자치도 인제군,1288832,34083,122489,107,12022.0
11,강원특별자치도 고성군,1530444,110982,183130,229,18882.0
11,강원특별자치도 양양군,1821441,126792,209472,383,27476.0
12,강원특별자치도 춘천시,9508170,263394,423171,373,46981.0
12,강원특별자치도 원주시,10449383,245796,468760,152,45231.0
12,강원특별자치도 강릉시,8315581,469415,544089,734,80162.0
12,강원특별자치도 동해시,2960377,61963,146147,114,6252.0
12,강원특별자치도 태백시,1442036,23187,67597,22,10006.0
12,강원특별자치도 속초시,4148135,448441,410098,296,57996.0
12,강원특별자치도 삼척시,2213172,74701,155301,181,16296.0
12,강원특별자치도 홍천군,2547185,134508,233165,282,25790.0
12,강원특별자치도 횡성군,1585295,57094,160511,112,12751.0
12,강원특별자치도 영월군,1091444,29480,85288,118,10809.0
12,강원특별자치도 평창군,2425155,209523,232064,269,33851.0
12,강원특별자치도 정선군,1578288,107293,162039,106,15762.0
12,강원특별자치도 철원군,1283590,33327,72499,34,8607.0
12,강원특별자치도 화천군,810744,8445,43351,58,5567.0
12,강원특별자치도 양구군,748479,5581,27496,23,4756.0
12,강원특별자치도 인제군,1375253,33800,89851,107,10712.0
12,강원특별자치도 고성군,1721786,130089,148751,235,17429.0
12,강원특별자치도 양양군,1852368,148000,165405,390,26006.0
1,경상남도 창원시 의창구,6539494,97127,773627,81,9904.0
1,경상남도 창원시 성산구,7692335,124395,803433,93,19250.0
1,경상남도 창원시 마산합포구,5368131,73922,497432,69,7901.0
1,경상남도 창원시 진해구,4286402,72903,349600,50,11470.0
1,경상남도 진주시,7187270,113199,487058,112,26458.0
1,경상남도 통영시,3617723,104061,292138,313,16138.0
1,경상남도 사천시,3115532,69079,291633,103,11220.0
1,경상남도 밀양시,3054460,55326,240337,82,11820.0
1,경상남도 거제시,8847929,171049,355875,537,28565.0
1,경상남도 양산시,8943244,165308,675763,123,23998.0
1,경상남도 의령군,806798,8779,71188,7,3223.0
1,경상남도 함안군,2026876,14859,238889,10,4711.0
1,경상남도 창녕군,1763322,28982,179450,27,4958.0
1,경상남도 남해군,1413065,56832,139776,343,18099.0
1,경상남도 하동군,1071257,21596,120241,84,7397.0
1,경상남도 산청군,987755,12699,123509,74,6704.0
1,경상남도 함양군,1123776,10120,81821,22,5224.0
1,경상남도 거창군,1645819,18902,103520,34,5904.0
1,경상남도 합천군,1246260,17678,103925,41,5833.0
2,경상남도 창원시 의창구,5893059,90367,763821,81,9298.0
2,경상남도 창원시 성산구,6929803,122033,806357,92,18433.0
2,경상남도 창원시 마산합포구,4684603,68136,462083,68,7445.0
2,경상남도 창원시 진해구,3840949,69964,328391,49,12245.0
2,경상남도 진주시,6362789,110783,414795,112,26481.0
2,경상남도 통영시,3241177,110036,270019,313,18383.0
2,경상남도 사천시,2753324,67912,266772,103,13178.0
2,경상남도 밀양시,2684220,54406,211757,83,13075.0
2,경상남도 거제시,8056175,170425,343459,545,28623.0
2,경상남도 양산시,8152372,167456,652044,126,24689.0
2,경상남도 의령군,709749,10354,62830,7,3988.0
2,경상남도 함안군,1818300,15573,228334,10,5380.0
2,경상남도 창녕군,1533188,25898,156556,28,5652.0
2,경상남도 남해군,1228934,60855,122952,350,18841.0
2,경상남도 하동군,965977,24509,106394,81,8661.0
2,경상남도 산청군,835863,12950,103823,72,6546.0
2,경상남도 함양군,974634,7005,58189,23,6408.0
2,경상남도 거창군,1423926,15355,74675,34,7418.0
2,경상남도 합천군,1042437,18381,81284,42,6204.0
3,경상남도 창원시 의창구,6898337,103120,807533,81,11551.0
3,경상남도 창원시 성산구,7896617,140734,803054,92,20482.0
3,경상남도 창원시 마산합포구,5601505,83601,507600,68,8973.0
3,경상남도 창원시 진해구,4997051,147371,443909,53,20446.0
3,경상남도 진주시,7667747,122956,464420,115,30710.0
3,경상남도 통영시,3702734,96727,268385,309,21786.0
3,경상남도 사천시,3300650,80109,290266,102,14458.0
3,경상남도 밀양시,3306286,73127,249049,82,13459.0
3,경상남도 거제시,9116285,162491,318517,550,31472.0
3,경상남도 양산시,9423195,206809,680008,124,31320.0
3,경상남도 의령군,835912,12225,74436,7,4110.0
3,경상남도 함안군,2146239,19137,248977,10,5699.0
3,경상남도 창녕군,1833434,32447,179710,29,6423.0
3,경상남도 남해군,1463902,67641,145494,349,21695.0
3,경상남도 하동군,1790868,97628,227357,80,14131.0
3,경상남도 산청군,1010495,17050,119762,73,7152.0
3,경상남도 함양군,1148632,9984,68535,23,5794.0
3,경상남도 거창군,1642266,17285,82952,34,6712.0
3,경상남도 합천군,1266007,24380,105321,41,8387.0
4,경상남도 창원시 의창구,6453567,101090,799510,80,11801.0
4,경상남도 창원시 성산구,7319418,135025,813038,91,19995.0
4,경상남도 창원시 마산합포구,5200382,82793,494740,71,9844.0
4,경상남도 창원시 진해구,4351547,98160,342913,53,16282.0
4,경상남도 진주시,6972336,125765,410319,119,28080.0
4,경상남도 통영시,3563543,107570,261439,338,19915.0
4,경상남도 사천시,3344838,87137,299712,109,13601.0
4,경상남도 밀양시,3205047,81742,246079,99,12719.0
4,경상남도 거제시,8752933,176275,336870,593,33852.0
4,경상남도 양산시,8686836,173975,637595,130,26650.0
4,경상남도 의령군,896524,14639,82410,8,4786.0
4,경상남도 함안군,2169454,21299,256483,10,7156.0
4,경상남도 창녕군,2046092,47404,209049,30,8093.0
4,경상남도 남해군,1516045,85990,150188,392,21123.0
4,경상남도 하동군,1355065,57499,141565,86,12294.0
4,경상남도 산청군,1134488,28763,148486,93,7171.0
4,경상남도 함양군,1213325,13645,76735,26,6123.0
4,경상남도 거창군,1630002,22190,89557,37,6760.0
4,경상남도 합천군,1398654,32689,118357,48,8983.0
5,경상남도 창원시 의창구,6884081,105380,812418,83,13539.0
5,경상남도 창원시 성산구,7803470,144495,816168,93,24771.0
5,경상남도 창원시 마산합포구,5614766,85693,515557,71,10260.0
5,경상남도 창원시 진해구,4432447,85050,342444,54,16089.0
5,경상남도 진주시,7585360,136710,437926,119,32702.0
5,경상남도 통영시,3747563,110053,294218,342,26951.0
5,경상남도 사천시,3369644,81961,301071,108,15767.0
5,경상남도 밀양시,3474394,82020,272518,101,14920.0
5,경상남도 거제시,9252325,180100,367272,601,39723.0
5,경상남도 양산시,9327484,186828,660280,134,31477.0
5,경상남도 의령군,908939,14841,82885,8,4360.0
5,경상남도 함안군,2391603,49463,292724,11,11095.0
5,경상남도 창녕군,1941756,32085,193717,30,8166.0
5,경상남도 남해군,1576788,82537,166784,395,28030.0
5,경상남도 하동군,1412472,51879,163358,86,14905.0
5,경상남도 산청군,1206433,29727,157138,92,9600.0
5,경상남도 함양군,1333332,17563,90684,26,8648.0
5,경상남도 거창군,1751375,23703,103449,38,9123.0
5,경상남도 합천군,1483558,33845,138389,47,12681.0
6,경상남도 창원시 의창구,6422665,99504,991212,83,12727.0
6,경상남도 창원시 성산구,7514122,138415,1038075,94,24125.0
6,경상남도 창원시 마산합포구,5336713,80718,630395,73,11934.0
6,경상남도 창원시 진해구,4314840,84986,436058,55,14019.0
6,경상남도 진주시,7117560,127331,537257,120,30282.0
6,경상남도 통영시,3516877,111154,373382,341,28925.0
6,경상남도 사천시,3135386,78746,358479,109,15502.0
6,경상남도 밀양시,3176854,75561,313062,104,14656.0
6,경상남도 거제시,9098313,198176,483464,608,42003.0
6,경상남도 양산시,8889360,181433,818936,134,35650.0
6,경상남도 의령군,800826,12887,93255,8,4504.0
6,경상남도 함안군,1956771,21945,318496,11,8217.0
6,경상남도 창녕군,1784769,26209,216227,31,6237.0
6,경상남도 남해군,1454688,75895,184531,397,28885.0
6,경상남도 하동군,1154965,39465,160350,85,11650.0
6,경상남도 산청군,1075875,28836,179738,93,8173.0
6,경상남도 함양군,1253586,17151,107449,27,8914.0
6,경상남도 거창군,1654851,22131,117713,38,7848.0
6,경상남도 합천군,1289523,23983,132514,48,10378.0
7,경상남도 창원시 의창구,6459873,101042,827139,84,13710.0
7,경상남도 창원시 성산구,7630195,142130,876042,94,26181.0
7,경상남도 창원시 마산합포구,5385143,84646,497277,77,11200.0
7,경상남도 창원시 진해구,4369420,84414,362974,55,13651.0
7,경상남도 진주시,7091498,129247,451801,120,34411.0
7,경상남도 통영시,3552244,115281,292755,341,28928.0
7,경상남도 사천시,3236200,84773,309996,111,15599.0
7,경상남도 밀양시,3182234,77909,249349,107,16025.0
7,경상남도 거제시,9421744,209746,404617,612,47747.0
7,경상남도 양산시,9005059,193289,673149,134,32802.0
7,경상남도 의령군,775731,12145,68404,8,5323.0
7,경상남도 함안군,1978631,23214,273663,11,8646.0
7,경상남도 창녕군,1709645,24895,163443,31,6255.0
7,경상남도 남해군,1540363,76976,148059,399,29242.0
7,경상남도 하동군,1117606,34753,123159,87,10594.0
7,경상남도 산청군,1138056,34987,155503,94,9040.0
7,경상남도 함양군,1288387,18872,93547,27,8998.0
7,경상남도 거창군,1685568,24401,100539,40,9541.0
7,경상남도 합천군,1250585,24949,102739,47,8522.0
8,경상남도 창원시 의창구,6384091,103965,790142,85,13410.0
8,경상남도 창원시 성산구,7453982,137553,815957,93,28097.0
8,경상남도 창원시 마산합포구,5422543,97660,526735,77,12221.0
8,경상남도 창원시 진해구,4300548,84879,354510,56,14583.0
8,경상남도 진주시,7082489,134206,474218,120,36938.0
8,경상남도 통영시,3619983,155013,372759,342,33069.0
8,경상남도 사천시,3359998,106339,353607,116,17138.0
8,경상남도 밀양시,3349956,102498,317259,109,17500.0
8,경상남도 거제시,9412845,267059,518004,619,48114.0
8,경상남도 양산시,9123187,217528,710091,136,37082.0
8,경상남도 의령군,785467,15448,77672,8,4812.0
8,경상남도 함안군,1943985,21226,262112,11,6563.0
8,경상남도 창녕군,1679731,29560,174819,31,5828.0
8,경상남도 남해군,1636341,111303,218236,406,34485.0
8,경상남도 하동군,1280025,54982,174557,89,12481.0
8,경상남도 산청군,1326308,51547,229658,96,11662.0
8,경상남도 함양군,1433214,27749,132467,28,9941.0
8,경상남도 거창군,1778456,34823,134939,40,10262.0
8,경상남도 합천군,1281137,27529,121213,48,9228.0
9,경상남도 창원시 의창구,6600187,108741,867604,85,12708.0
9,경상남도 창원시 성산구,7465483,144065,881319,93,28195.0
9,경상남도 창원시 마산합포구,5461429,98726,596387,78,10847.0
9,경상남도 창원시 진해구,4151888,87327,383295,56,14601.0
9,경상남도 진주시,7283901,132257,571569,119,31592.0
9,경상남도 통영시,3575648,110403,339509,343,24971.0
9,경상남도 사천시,3104406,93026,362362,116,15834.0
9,경상남도 밀양시,3295646,80075,305894,109,13647.0
9,경상남도 거제시,8891376,197584,413374,618,37693.0
9,경상남도 양산시,9060612,198390,727276,135,32813.0
9,경상남도 의령군,898212,19067,104765,8,5264.0
9,경상남도 함안군,1988853,26616,304570,12,7154.0
9,경상남도 창녕군,1831162,31985,214590,31,6238.0
9,경상남도 남해군,1572799,75940,186629,411,27228.0
9,경상남도 하동군,1224350,43283,165952,88,9957.0
9,경상남도 산청군,1224190,39529,193257,92,10880.0
9,경상남도 함양군,1377566,23758,124583,28,9307.0
9,경상남도 거창군,1801853,34578,142546,40,8774.0
9,경상남도 합천군,1393562,32616,155441,49,9744.0
10,경상남도 창원시 의창구,6746559,125464,844168,86,12742.0
10,경상남도 창원시 성산구,7611913,146175,862130,93,31239.0
10,경상남도 창원시 마산합포구,5475033,119567,551238,79,13175.0
10,경상남도 창원시 진해구,4234375,90332,369337,57,15579.0
10,경상남도 진주시,7525454,178575,536579,120,39507.0
10,경상남도 통영시,3926381,131868,330048,344,30198.0
10,경상남도 사천시,3145596,97267,325778,115,16316.0
10,경상남도 밀양시,3448574,105469,285276,107,14644.0
10,경상남도 거제시,9298014,212810,390113,617,39757.0
10,경상남도 양산시,9319630,230859,693651,137,33252.0
10,경상남도 의령군,952975,31001,101783,8,5915.0
10,경상남도 함안군,2144733,44877,292282,12,8792.0
10,경상남도 창녕군,1912933,39220,193151,31,6910.0
10,경상남도 남해군,1631157,87998,163187,406,27982.0
10,경상남도 하동군,1330185,66307,151871,86,11620.0
10,경상남도 산청군,1342819,49915,177991,96,9955.0
10,경상남도 함양군,1418167,25547,99021,28,7987.0
10,경상남도 거창군,1866690,59979,123768,40,12549.0
10,경상남도 합천군,1518584,70067,159454,49,14626.0
11,경상남도 창원시 의창구,6565311,107327,1062151,86,14062.0
11,경상남도 창원시 성산구,7459040,141945,1105505,92,32920.0
11,경상남도 창원시 마산합포구,5283742,91425,670650,78,12224.0
11,경상남도 창원시 진해구,4043354,83301,454911,58,17250.0
11,경상남도 진주시,7072357,120649,562973,118,36273.0
11,경상남도 통영시,3537083,91965,348037,345,25552.0
11,경상남도 사천시,2957151,76750,378471,117,15645.0
11,경상남도 밀양시,3188337,88241,333520,106,14105.0
11,경상남도 거제시,8678246,145458,409412,621,36432.0
11,경상남도 양산시,8823493,190773,828346,137,33236.0
11,경상남도 의령군,852740,14692,105442,8,4222.0
11,경상남도 함안군,2017439,24872,337642,12,6408.0
11,경상남도 창녕군,1744891,30053,222857,32,5811.0
11,경상남도 남해군,1360953,47154,155284,409,24007.0
11,경상남도 하동군,1129590,38907,162105,89,11100.0
11,경상남도 산청군,1054613,21905,171651,98,7246.0
11,경상남도 함양군,1242699,15984,109901,28,8517.0
11,경상남도 거창군,1644060,26077,121605,42,9375.0
11,경상남도 합천군,1212115,26077,140703,49,9729.0
12,경상남도 창원시 의창구,6229230,119066,839362,86,14495.0
12,경상남도 창원시 성산구,7328429,163644,889322,93,31846.0
12,경상남도 창원시 마산합포구,5300386,98357,535209,77,12891.0
12,경상남도 창원시 진해구,4035662,94165,366844,58,17133.0
12,경상남도 진주시,6994377,131183,463896,119,33664.0
12,경상남도 통영시,3513067,112314,282883,345,23057.0
12,경상남도 사천시,2875621,81747,298026,116,14219.0
12,경상남도 밀양시,2951462,62717,226903,106,12513.0
12,경상남도 거제시,8783672,178048,351659,621,36297.0
12,경상남도 양산시,8664920,190151,657958,137,32684.0
12,경상남도 의령군,769660,12144,71088,8,4101.0
12,경상남도 함안군,1752667,16647,242091,12,5665.0
12,경상남도 창녕군,1640632,28526,164176,32,4840.0
12,경상남도 남해군,1324624,59345,129431,413,24364.0
12,경상남도 하동군,960802,22249,108742,90,8972.0
12,경상남도 산청군,905582,13615,112614,101,6600.0
12,경상남도 함양군,1057771,9031,69050,28,6566.0
12,경상남도 거창군,1539091,18223,82978,41,9629.0
12,경상남도 합천군,1071261,17126,86607,49,9310.0
1,경상북도 경주시,9008556,389778,814516,719,55742.0
1,경상북도 김천시,3407871,51430,251009,56,10123.0
1,경상북도 안동시,5087902,67731,286116,139,19671.0
1,경상북도 구미시,8586073,127254,555667,116,22931.0
1,경상북도 영주시,2876123,35088,161361,47,9136.0
1,경상북도 영천시,2662944,34132,252619,31,6974.0
1,경상북도 상주시,2932176,26485,204963,34,9903.0
1,경상북도 문경시,1946995,35157,177780,66,8421.0
1,경상북도 경산시,7447024,77228,566117,47,16044.0
1,경상북도 의성군,1432079,8477,109000,8,4418.0
1,경상북도 청송군,895795,18454,67430,15,4968.0
1,경상북도 영양군,382293,1076,26913,2,7088.0
1,경상북도 영덕군,1676189,57369,136511,117,12599.0
1,경상북도 청도군,1554870,42736,178655,69,7671.0
1,경상북도 고령군,925203,8043,110003,2,5672.0
1,경상북도 성주군,1376034,8152,150586,43,4779.0
1,경상북도 칠곡군,3228911,49013,393584,33,11482.0
1,경상북도 예천군,1593780,13806,111524,8,5438.0
1,경상북도 봉화군,745026,7845,68773,15,5734.0
1,경상북도 울진군,1711689,61067,128360,71,8528.0
1,경상북도 울릉군,215492,460,5636,33,3271.0
