지역명,일시,관외 이동량
경상남도 창원시 진해구,2,328391
경상남도 통영시,2,270019
경상남도 하동군,2,106394
경상남도 함안군,2,228334
경상남도 함양군,2,58189
경상남도 합천군,2,81284
제주특별자치도 서귀포시,2,979857
제주특별자치도 제주시,2,1272905
부산광역시 강서구,3,939923
부산광역시 금정구,3,746233
부산광역시 기장군,3,694211
부산광역시 남구,3,695141
부산광역시 동구,3,510198
부산광역시 동래구,3,828290
부산광역시 부산광역시진구,3,1446677
부산광역시 북구,3,397241
부산광역시 사상구,3,769113
부산광역시 사하구,3,506035
부산광역시 서구,3,413192
부산광역시 수영구,3,693015
부산광역시 연제구,3,767097
부산광역시 영도구,3,280697
부산광역시 중구,3,591253
부산광역시 해운대구광역시,3,1105591
대구광역시 남구,3,557018
대구광역시 달서구,3,1263806
대구광역시 달성군,3,688368
대구광역시 동구,3,1034877
대구광역시 북구,3,1067349
대구광역시 서구,3,518286
대구광역시 수성구,3,1039918
대구광역시 군위군,3,0
대구광역시 중구,3,1204339
광주광역시 광산구,3,1002312
광주광역시 남구,3,489306
광주광역시 동구,3,784664
광주광역시 북구,3,977764
광주광역시 서구,3,1091920
대전광역시 대덕구,3,540516
대전광역시 동구,3,776003
대전광역시 서구,3,1217274
대전광역시 유성구,3,1232071
대전광역시 중구,3,778909
울산광역시 남구,3,1058640
울산광역시 동구,3,282993
울산광역시 북구,3,604311
울산광역시 울주군,3,748035
울산광역시 중구,3,421506
세종특별자치시,3,620229
강원특별자치도 강릉시,3,531300
강원특별자치도 고성군,3,132574
강원특별자치도 동해시,3,138267
강원특별자치도 삼척시,3,179910
강원특별자치도 속초시,3,311717
강원특별자치도 양구군,3,32457
강원특별자치도 양양군,3,161744
강원특별자치도 영월군,3,88535
강원특별자치도 원주시,3,494286
강원특별자치도 인제군,3,76229
강원특별자치도 정선군,3,115280
강원특별자치도 철원군,3,84107
강원특별자치도 춘천시,3,512295
강원특별자치도 태백시,3,53465
강원특별자치도 평창군,3,120457
강원특별자치도 홍천군,3,184992
강원특별자치도 화천군,3,47491
강원특별자치도 횡성군,3,138069
충청북도 괴산군,3,138368
충청북도 단양군,3,105851
충청북도 보은군,3,92392
충청북도 영동군,3,85140
충청북도 옥천군,3,158102
충청북도 음성군,3,303236
충청북도 제천시,3,277112
충청북도 증평군,3,90316
충청북도 진천군,3,251445
충청북도 청주시 상당구,3,557370
충청북도 청주시 서원구,3,606339
충청북도 청주시 청원구,3,575398
충청북도 청주시 흥덕구,3,899390
충청북도 충주시,3,358493
충청남도 계룡시,3,84517
충청남도 공주시,3,408239
충청남도 금산군,3,182437
충청남도 논산시,3,298560
충청남도 당진시,3,356917
충청남도 보령시,3,225212
충청남도 부여군,3,133511
충청남도 서산시,3,283602
충청남도 서천군,3,151237
충청남도 아산시,3,827665
충청남도 예산군,3,234288
충청남도 천안시 동남구,3,868429
충청남도 천안시 서북구,3,992206
충청남도 청양군,3,78805
충청남도 태안군,3,207511
충청남도 홍성군,3,195631
전북특별자치도 고창군,3,126950
전북특별자치도 군산시,3,392543
전북특별자치도 김제시,3,224639
전북특별자치도 남원시,3,157847
전북특별자치도 무주군,3,61254
전북특별자치도 부안군,3,136638
전북특별자치도 순창군,3,71312
전북특별자치도 완주군,3,450392
전북특별자치도 익산시,3,438635
전북특별자치도 임실군,3,103614
전북특별자치도 장수군,3,38403
전북특별자치도 전주시 덕진구,3,882063
전북특별자치도 전주시 완산구,3,814002
전북특별자치도 정읍시,3,177968
전북특별자치도 진안군,3,73428
전라남도 강진군,3,91513
전라남도 고흥군,3,104028
전라남도 곡성군,3,99807
전라남도 광양시,3,329013
전라남도 구례군,3,193213
전라남도 나주시,3,321319
전라남도 담양군,3,250545
전라남도 목포시,3,430775
전라남도 무안군,3,290076
전라남도 보성군,3,114047
전라남도 순천시,3,462121
전라남도 신안군,3,93504
전라남도 여수시,3,501477
전라남도 영광군,3,108607
전라남도 영암군,3,207177
전라남도 완도군,3,74814
전라남도 장성군,3,163075
전라남도 장흥군,3,64375
전라남도 진도군,3,64676
전라남도 함평군,3,100938
전라남도 해남군,3,127497
전라남도 화순군,3,195156
경상북도 경산시,3,781331
경상북도 경주시,3,914655
경상북도 고령군,3,129487
경상북도 구미시,3,565870
경상북도 김천시,3,282465
경상북도 문경시,3,166283
경상북도 봉화군,3,62646
경상북도 상주시,3,195256
경상북도 성주군,3,157197
경상북도 안동시,3,270612
경상북도 영덕군,3,114237
경상북도 영양군,3,21612
경상북도 영주시,3,144384
경상북도 영천시,3,250346
경상북도 예천군,3,102569
경상북도 울릉군,3,22330
경상북도 울진군,3,110134
경상북도 의성군,3,108415
경상북도 청도군,3,197674
경상북도 청송군,3,55169
경상북도 칠곡군,3,407419
경상북도 포항시 남구,3,665981
경상북도 포항시 북구,3,586496
경상남도 거제시,3,318517
경상남도 거창군,3,82952
경상북도 군위군,3,109081
경상남도 고성군,3,162782
경상남도 김해시,3,873940
경상남도 남해군,3,145494
경상남도 밀양시,3,249049
경상남도 사천시,3,290266
경상남도 산청군,3,119762
경상남도 양산시,3,680008
경상남도 의령군,3,74436
경상남도 진주시,3,464420
경상남도 창녕군,3,179710
경상남도 창원시 마산합포구,3,507600
경상남도 창원시 마산회원구,3,474994
경상남도 창원시 성산구,3,803054
경상남도 창원시 의창구,3,807533
경상남도 창원시 진해구,3,443909
