일시,지역명,방문자수
07,경상남도 사천시,3236200
07,경상남도 김해시,12852780
07,경상남도 밀양시,3182234
07,경상남도 거제시,9421744
07,경상남도 양산시,9005059
07,경상남도 의령군,775731
07,경상남도 함안군,1978631
07,경상남도 창녕군,1709645
07,경상남도 고성군,1671513
07,경상남도 남해군,1540363
07,경상남도 하동군,1117606
07,경상남도 산청군,1138056
07,경상남도 함양군,1288387
07,경상남도 거창군,1685568
07,경상남도 합천군,1250585
08,경상남도 창원시 의창구,6384091
08,경상남도 창원시 성산구,7453982
08,경상남도 창원시 마산합포구,5422543
08,경상남도 창원시 마산회원구,4645416
08,경상남도 창원시 진해구,4300548
08,경상남도 진주시,7082489
08,경상남도 통영시,3619983
08,경상남도 사천시,3359998
08,경상남도 김해시,12797068
08,경상남도 밀양시,3349956
08,경상남도 거제시,9412845
08,경상남도 양산시,9123187
08,경상남도 의령군,785467
08,경상남도 함안군,1943985
08,경상남도 창녕군,1679731
08,경상남도 고성군,1662034
08,경상남도 남해군,1636341
08,경상남도 하동군,1280025
08,경상남도 산청군,1326308
08,경상남도 함양군,1433214
08,경상남도 거창군,1778456
08,경상남도 합천군,1281137
09,경상남도 창원시 의창구,6600187
09,경상남도 창원시 성산구,7465483
09,경상남도 창원시 마산합포구,5461429
09,경상남도 창원시 마산회원구,4796121
09,경상남도 창원시 진해구,4151888
09,경상남도 진주시,7283901
09,경상남도 통영시,3575648
09,경상남도 사천시,3104406
09,경상남도 김해시,12656026
09,경상남도 밀양시,3295646
09,경상남도 거제시,8891376
09,경상남도 양산시,9060612
09,경상남도 의령군,898212
09,경상남도 함안군,1988853
09,경상남도 창녕군,1831162
09,경상남도 고성군,1806596
09,경상남도 남해군,1572799
09,경상남도 하동군,1224350
09,경상남도 산청군,1224190
09,경상남도 함양군,1377566
09,경상남도 거창군,1801853
09,경상남도 합천군,1393562
10,경상남도 창원시 의창구,6746559
10,경상남도 창원시 성산구,7611913
10,경상남도 창원시 마산합포구,5475033
10,경상남도 창원시 마산회원구,4739729
10,경상남도 창원시 진해구,4234375
10,경상남도 진주시,7525454
10,경상남도 통영시,3926381
10,경상남도 사천시,3145596
10,경상남도 김해시,12917403
10,경상남도 밀양시,3448574
10,경상남도 거제시,9298014
10,경상남도 양산시,9319630
10,경상남도 의령군,952975
10,경상남도 함안군,2144733
10,경상남도 창녕군,1912933
10,경상남도 고성군,1896937
10,경상남도 남해군,1631157
10,경상남도 하동군,1330185
10,경상남도 산청군,1342819
10,경상남도 함양군,1418167
10,경상남도 거창군,1866690
10,경상남도 합천군,1518584
11,경상남도 창원시 의창구,6565311
11,경상남도 창원시 성산구,7459040
11,경상남도 창원시 마산합포구,5283742
11,경상남도 창원시 마산회원구,4676431
11,경상남도 창원시 진해구,4043354
