일시,방문자 수,지역명
2,4314557.0,경상남도 창원시 마산회원구
2,3878480.0,경상남도 창원시 진해구
2,6694332.0,경상남도 진주시
2,3406442.0,경상남도 통영시
2,2852163.0,경상남도 사천시
2,11700000.0,경상남도 김해시
2,3064309.0,경상남도 밀양시
2,8314182.0,경상남도 거제시
2,8557895.0,경상남도 양산시
2,797088.0,경상남도 의령군
2,1767878.0,경상남도 함안군
2,1705411.0,경상남도 창녕군
2,1348989.0,경상남도 남해군
2,1053072.0,경상남도 하동군
2,990043.0,경상남도 산청군
2,1136630.0,경상남도 함양군
2,1591341.0,경상남도 거창군
2,1172761.0,경상남도 합천군
2,8626529.0,경상북도 경주시
2,3440148.0,경상북도 김천시
2,4762641.0,경상북도 안동시
2,8093283.0,경상북도 구미시
2,2796993.0,경상북도 영주시
2,2469310.0,경상북도 영천시
2,2748902.0,경상북도 상주시
2,1849016.0,경상북도 문경시
2,5415665.0,경상북도 경산시
2,1352432.0,경상북도 의성군
2,778618.0,경상북도 청송군
2,327049.0,경상북도 영양군
2,1515778.0,경상북도 영덕군
2,1369948.0,경상북도 청도군
2,865588.0,경상북도 고령군
2,1289148.0,경상북도 성주군
2,3136846.0,경상북도 칠곡군
2,1461926.0,경상북도 예천군
2,650124.0,경상북도 봉화군
2,1558477.0,경상북도 울진군
2,206275.0,경상북도 울릉군
2,5877365.0,경상북도 포항시 남구
2,7340112.0,경상북도 포항시 북구
2,3394730.0,광주광역시 남구
2,4603501.0,광주광역시 동구
2,10200000.0,광주광역시 북구
2,10100000.0,광주광역시 광산구
2,8759797.0,광주광역시 서구
2,936020.0,대구광역시 군위군
2,4073908.0,대구광역시 남구
2,10500000.0,대구광역시 동구
2,10400000.0,대구광역시 수성구
2,13100000.0,대구광역시 달서구
2,5323770.0,대구광역시 달성군
2,11100000.0,대구광역시 북구
2,3430398.0,대구광역시 서구
2,7339290.0,대구광역시 중구
2,5444849.0,대전광역시 동구
2,11100000.0,대전광역시 유성구
2,3959968.0,대전광역시 대덕구
2,12300000.0,대전광역시 서구
2,6416732.0,대전광역시 중구
2,5532275.0,부산광역시 강서구
2,3233611.0,부산광역시 영도구
2,11600000.0,부산광역시 부산진구
2,6755250.0,부산광역시 동래구
2,12200000.0,부산광역시 해운대구
2,5830335.0,부산광역시 사하구
2,5815585.0,부산광역시 금정구
2,6228067.0,부산광역시 남구
2,4074175.0,부산광역시 연제구
2,5453246.0,부산광역시 수영구
2,4807067.0,부산광역시 사상구
2,5985468.0,부산광역시 기장군
2,4140601.0,부산광역시 동구
2,6411178.0,부산광역시 북구
2,3127009.0,부산광역시 서구
2,4278848.0,부산광역시 중구
2,14600000.0,서울특별시 종로구
2,12900000.0,서울특별시 강서구
2,12100000.0,서울특별시 용산구
2,8602441.0,서울특별시 성동구
2,11000000.0,서울특별시 광진구
2,9135835.0,서울특별시 동대문구
2,8036478.0,서울특별시 중랑구
2,10200000.0,서울특별시 성북구
2,6516912.0,서울특별시 강북구
